,transect_id,country_id,continent,country_name,changerate,flag_sandy,Start_lon,Start_lat,Intersect_lon,Intersect_lat,End_lon,End_lat
289146,BOX_080_002_7,FRA,Europe,France,-0.13,True,55.2822891108,-21.1432913982,55.27421429,-21.1469626267,55.2661394898,-21.1506338458
289147,BOX_080_002_8,FRA,Europe,France,0.07,True,55.28370511479999,-21.1456347196,55.2764514134,-21.1505769245,55.2691977553,-21.155519100000006
289148,BOX_080_002_9,FRA,Europe,France,-0.09,True,55.286354698,-21.149017313,55.279101021,-21.1539593885,55.2718473386,-21.1589014677
289149,BOX_080_002_10,FRA,Europe,France,0.42,False,55.2890042813,-21.1523998292,55.2817505892,-21.1573418021,55.2744969218,-21.1622837581
289150,BOX_080_002_11,FRA,Europe,France,0.15,False,55.2922329908,-21.1572306296,55.2841412312,-21.1608689456,55.2760495054,-21.1645072463
289151,BOX_080_002_12,FRA,Europe,France,0.73,False,55.2940726365,-21.1633963907,55.2852357921,-21.1649021379,55.2763989395,-21.1664078866
289152,BOX_080_002_13,FRA,Europe,France,-0.28,True,55.2947192146,-21.1693325776,55.2857414241,-21.169043065,55.2767636418,-21.1687535526
289153,BOX_080_002_14,FRA,Europe,France,-0.27,True,55.2945639832,-21.1735184886,55.2855861824,-21.1732289838,55.2766084104,-21.17293948
289154,BOX_080_002_15,FRA,Europe,France,-0.1,True,55.294408751800006,-21.1777042811,55.2854309451,-21.1774147844,55.2764531791,-21.1771252889
289155,BOX_080_002_16,FRA,Europe,France,0.06,True,55.2942535204,-21.1818899552,55.2852757123,-21.181600466600003,55.2762979477,-21.1813109794
289156,BOX_080_002_17,FRA,Europe,France,-0.46,False,55.294098289,-21.1860755108,55.2851204838,-21.1857860305,55.2761427163,-21.1854965514
289157,BOX_080_002_18,FRA,Europe,France,0.1,False,55.2939430576,-21.1902609478,55.2849652596,-21.189971476,55.2759874849,-21.1896820048
289158,BOX_080_002_19,FRA,Europe,France,0.26,True,55.2934340911,-21.1918069043,55.2848117453,-21.1941567864,55.2761894009,-21.1965066682
289159,BOX_080_002_20,FRA,Europe,France,0.01,True,55.2939364696,-21.1980694159,55.284958088100005,-21.1983422913,55.2759797022,-21.1986151668
289160,BOX_080_002_21,FRA,Europe,France,-0.35,True,55.2940828095,-21.2022547917,55.2851044261,-21.2025276594,55.2761260421,-21.2028005271
289161,BOX_080_002_22,FRA,Europe,France,-0.24,False,55.2945602846,-21.2055915545,55.2856536378,-21.2066821912,55.2767469787,-21.2077728294
289162,BOX_080_002_23,FRA,Europe,France,-0.43,False,55.2949691109,-21.2086606236,55.2862909178,-21.2108241874,55.277612729,-21.21298775
289163,BOX_080_002_24,FRA,Europe,France,-0.7,False,55.296129502700005,-21.2127057729,55.2874513163,-21.2148692757,55.2787731208,-21.2170327808
289164,BOX_080_002_25,FRA,Europe,France,-0.5,False,55.2971221888,-21.2154029424,55.2889176737,-21.2188132189,55.2807131709,-21.2222234903
289165,BOX_080_002_26,FRA,Europe,France,-0.25,False,55.2989513325,-21.2192271234,55.2907468096,-21.2226373148,55.2825423146,-21.2260474946
289166,BOX_080_002_27,FRA,Europe,France,-0.4,False,55.3006640432,-21.2214419021,55.2932194633,-21.2261283384,55.2857749366,-21.2308147412
289167,BOX_080_002_28,FRA,Europe,France,-0.68,False,55.302526334,-21.2236612722,55.2959905679,-21.2294060014,55.2894549049,-21.23515064
289168,BOX_080_002_29,FRA,Europe,France,-0.08,False,55.3056077895,-21.2267074536,55.2990720172,-21.2324520696,55.2925363604,-21.2381965841
289169,BOX_080_006_0,FRA,Europe,France,-999.0,False,55.5856875019,-21.3664318441,55.5841431036,-21.3746727864,55.5825987893,-21.3829132803
289170,BOX_080_006_1,FRA,Europe,France,-999.0,False,55.591636406000006,-21.3677932242,55.5884979725,-21.3756315103,55.5853596849,-21.3834694322
289171,BOX_080_006_2,FRA,Europe,France,-999.0,False,55.5958449606,-21.369254533,55.5927065264,-21.3770927426,55.5895682395,-21.3849305845
289172,BOX_080_006_3,FRA,Europe,France,-999.0,False,55.601167514,-21.3720003854,55.5965855526,-21.3791955899,55.5920037286,-21.3863905787
